"RMA - Return Management","RMA - Gestionare Retururi"
"If you have questions, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Dacă aveți întrebări, ne puteți scrie la <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","sau ne puteți apela la <a href=""tel:%store_phone"">%store_phone</a>"
"Our hours are <span class=""no-link"">%store_hours</span>.","Programul nostru este <span class=""no-link"">%store_hours</span>."
"Your return request <strong>#%increment_id</strong> for order <strong>#%order_increment_id</strong> has been updated with a status of <strong>%status</strong>.","Cererea dvs. de retur <strong>#%increment_id</strong> pentru comanda <strong>#%order_increment_id</strong> a fost actualizată cu statusul <strong>%status</strong>."
"A new return request <strong>#%increment_id</strong> has been submitted.","O nouă cerere de retur <strong>#%increment_id</strong> a fost trimisă."
"Customer:","Client:"
"Store:","Magazin:"
"Store View Specific Labels","Etichete Specifice Vizualizării Magazin"
"My Returns","Retururile Mele"
"Request Return","Solicită Retur"
"You have no return requests.","Nu aveți cereri de retur."
"Return Information","Informații Retur"
"Return Details","Detalii Retur"
"RMA #","RMA #"
"Order #","Comandă #"
"Status","Status"
"Created At","Creat la"
"Updated At","Actualizat la"
"Action","Acțiune"
"View","Vezi"
"Back","Înapoi"
"Back to My Returns","Înapoi la Retururile Mele"
"Order Information","Informații Comandă"
"Order","Comandă"
"Items to Return","Articole de Returnat"
"Select","Selectați"
"Product","Produs"
"SKU","SKU"
"Quantity","Cantitate"
"Condition","Stare"
"Reason","Motiv"
"Preferred Resolution","Soluționare Preferată"
"-- Select an order --","-- Selectați o comandă --"
"-- Select a reason --","-- Selectați un motiv --"
"-- Select a resolution --","-- Selectați o soluționare --"
"-- Select --","-- Selectați --"
"Select an order to see available items.","Selectați o comandă pentru a vedea articolele disponibile."
"Loading items...","Se încarcă articolele..."
"No items available for return in this order.","Nu există articole disponibile pentru retur în această comandă."
"An error occurred while loading order items.","A apărut o eroare la încărcarea articolelor comenzii."
"Submit Return Request","Trimite Cererea de Retur"
"Please select an order.","Vă rugăm să selectați o comandă."
"Please select at least one item to return.","Vă rugăm să selectați cel puțin un articol de returnat."
"The selected order does not exist.","Comanda selectată nu există."
"You are not authorized to create a return for this order.","Nu sunteți autorizat să creați un retur pentru această comandă."
"This order is not eligible for a return.","Această comandă nu este eligibilă pentru retur."
"Could not determine the initial RMA status.","Nu s-a putut determina statusul inițial al RMA."
"Your return request has been submitted successfully.","Cererea dvs. de retur a fost trimisă cu succes."
"Your return request #%1 has been submitted successfully.","Cererea dvs. de retur #%1 a fost trimisă cu succes."
"Something went wrong while submitting your return request.","A apărut o eroare la trimiterea cererii dvs. de retur."
"This return request no longer exists.","Această cerere de retur nu mai există."
"You are not authorized to view this return request.","Nu sunteți autorizat să vizualizați această cerere de retur."
"Invalid guest order session.","Sesiune de comandă vizitator invalidă."
"No order ID provided.","Nu a fost furnizat niciun ID de comandă."
"You are not authorized to access this order.","Nu sunteți autorizat să accesați această comandă."
"Unknown Product","Produs Necunoscut"
"N/A","N/A"
"max","max"
"Guest","Vizitator"
"Comments","Comentarii"
"No comments yet.","Niciun comentariu încă."
"No comments yet. Start the conversation!","Niciun comentariu încă. Începeți conversația!"
"Type your comment...","Introduceți comentariul dvs..."
"Type your message...","Introduceți mesajul dvs..."
"Visible to Customer","Vizibil pentru Client"
"Add Comment","Adaugă Comentariu"
"Send","Trimite"
"Internal Note","Notă Internă"
"Support","Suport"
"Invalid request.","Cerere invalidă."
"RMA not found.","RMA-ul nu a fost găsit."
"Not authorized.","Neautorizat."
"Could not save comment.","Comentariul nu a putut fi salvat."
"Attachments","Atașamente"
"Allowed File Extensions","Extensii Fișiere Permise"
"Comma-separated list of allowed file extensions (e.g. jpg,png,pdf,mp4).","Listă de extensii de fișiere permise, separate prin virgulă (ex. jpg,png,pdf,mp4)."
"Maximum File Size (MB)","Dimensiune Maximă Fișier (MB)"
"Maximum allowed file size in megabytes per single file.","Dimensiunea maximă permisă în megaocteți per fișier."
"Maximum Files Per Upload","Număr Maxim Fișiere per Încărcare"
"Maximum number of files allowed per RMA creation or comment.","Numărul maxim de fișiere permise per creare RMA sau comentariu."
"File not found.","Fișierul nu a fost găsit."
"Attachment not found.","Atașamentul nu a fost găsit."
"Could not download the file.","Fișierul nu a putut fi descărcat."
"File cannot be saved to the temporary folder.","Fișierul nu poate fi salvat în dosarul temporar."
"File exceeds the maximum allowed size of %1 MB.","Fișierul depășește dimensiunea maximă permisă de %1 MB."
"Drag & drop files here or click to browse","Trageți și fixați fișierele aici sau faceți clic pentru a răsfoi"
"Drag & drop files or click to attach","Trageți și fixați fișierele sau faceți clic pentru a atașa"
"No attachments yet.","Niciun atașament încă."
"File type not allowed.","Tipul de fișier nu este permis."
"File exceeds the maximum allowed size.","Fișierul depășește dimensiunea maximă permisă."
"Upload failed.","Încărcarea a eșuat."
"Delete this attachment?","Ștergeți acest atașament?"
"File type not allowed: %1","Tipul de fișier nu este permis: %1"
"File ""%1"" exceeds the maximum allowed size.","Fișierul ""%1"" depășește dimensiunea maximă permisă."
"Maximum number of files reached (%1).","Numărul maxim de fișiere a fost atins (%1)."
"Uploading %1...","Se încarcă %1..."
"Remove","Elimină"
"Invalid attachment path.","Cale atașament invalidă."
"Could not delete attachment.","Atașamentul nu a putut fi șters."
"This %1 no longer exists.","Acest %1 nu mai există."
"You saved the %1.","Ați salvat %1."
"Something went wrong while saving the %1.","A apărut o eroare la salvarea %1."
"We can't find the %1 to delete.","Nu găsim %1 pentru a-l șterge."
"You deleted the %1.","Ați șters %1."
"Please correct the data sent.","Vă rugăm să corectați datele trimise."
"A total of %1 record(s) have been deleted.","%1 înregistrare(ări) au fost șterse."
"%1 status(es) are used by the system and cannot be deleted.","%1 status(uri) sunt utilizate de sistem și nu pot fi șterse."
"Unknown","Necunoscut"
"Admin","Admin"
"Are you sure you want to delete this RMA request?","Sigur doriți să ștergeți această cerere RMA?"
"Are you sure you want to delete this status?","Sigur doriți să ștergeți acest status?"
"Comment text is required.","Textul comentariului este obligatoriu."
"Customer","Client"
"Customer & Order","Client și Comandă"
"Delete","Șterge"
"Delete status","Șterge status"
"Edit","Editează"
"Email","Email"
"Item does not belong to this RMA.","Articolul nu aparține acestui RMA."
"Manage RMA Requests","Gestionare Cereri RMA"
"New RMA Request","Cerere RMA Nouă"
"Order email does not match.","Emailul comenzii nu corespunde."
"Order Items","Articole Comandă"
"Order not found.","Comanda nu a fost găsită."
"Order number, email and RMA ID are required.","Numărul comenzii, emailul și ID-ul RMA sunt obligatorii."
"Product Name","Nume Produs"
"Purchased From","Achiziționat Din"
"Qty Requested","Cant. Solicitată"
"Requested Items","Articole Solicitate"
"RMA","RMA"
"RMA ID is required.","ID-ul RMA este obligatoriu."
"RMA Information","Informații RMA"
"RMA Item Conditions","Stări Articole RMA"
"RMA Reasons","Motive RMA"
"RMA Resolution Types","Tipuri Soluționare RMA"
"RMA Statuses","Statusuri RMA"
"Save","Salvează"
"Something went wrong while saving the RMA request.","A apărut o eroare la salvarea cererii RMA."
"This RMA request no longer exists.","Această cerere RMA nu mai există."
"You are not authorized to comment on this return.","Nu sunteți autorizat să comentați acest retur."
"You are not authorized to view this return.","Nu sunteți autorizat să vizualizați acest retur."
"You deleted the RMA request.","Ați șters cererea RMA."
"You saved the RMA request.","Ați salvat cererea RMA."
"Active","Activ"
"Add New Item Condition","Adaugă Stare Articol Nouă"
"Add New Reason","Adaugă Motiv Nou"
"Add New Resolution Type","Adaugă Tip Soluționare Nou"
"Add New RMA Request","Adaugă Cerere RMA Nouă"
"Add New Status","Adaugă Status Nou"
"Are you sure you want to delete selected items?","Sigur doriți să ștergeți articolele selectate?"
"Are you sure you want to delete selected items? System statuses will be skipped.","Sigur doriți să ștergeți articolele selectate? Statusurile de sistem vor fi omise."
"Are you sure you want to delete selected RMA requests?","Sigur doriți să ștergeți cererile RMA selectate?"
"Code","Cod"
"Customer Email","Email Client"
"Customer Name","Nume Client"
"Delete items","Șterge articole"
"ID","ID"
"Item Condition Information","Informații Stare Articol"
"Label","Etichetă"
"Order ID","ID Comandă"
"Processing","În procesare"
"Reason Information","Informații Motiv"
"Resolution","Soluționare"
"Resolution Type","Tip Soluționare"
"Resolution Type Information","Informații Tip Soluționare"
"RMA Request","Cerere RMA"
"Search by order number...","Căutați după numărul comenzii..."
"Sort Order","Ordine Sortare"
"Start typing an order number to search","Începeți să tastați un număr de comandă pentru a căuta"
"Status Information","Informații Status"
"Unique identifier. Cannot be changed after creation.","Identificator unic. Nu poate fi modificat după creare."
"Item ID %1 is not eligible for return on order #%2.","Articolul cu ID %1 nu este eligibil pentru retur la comanda #%2."
"Requested qty for item %1 exceeds available qty (%2).","Cant. solicitată pentru articolul %1 depășește cant. disponibilă (%2)."
"New Request","Cerere nouă"
"Need Details","Sunt necesare detalii"
"Approved","Aprobată"
"Rejected","Respinsă"
"Shipped by Customer","Expediată de client"
"Received by Admin","Primită de administrator"
"Canceled by Customer","Anulată de client"
"Resolved","Rezolvată"
"Wrong Product Delivered","Produs greșit livrat"
"Wrong Product Ordered","Produs greșit comandat"
"Wrong Product Description","Descriere greșită a produsului"
"Defective/Does not Work Properly","Defect/Nu funcționează corect"
"Damaged During Shipping","Deteriorat în timpul livrării"
"Late Delivery of Items","Livrare întârziată a articolelor"
"No Longer Needed/Wanted","Nu mai este necesar/dorit"
"Product Did Not Meet My Expectations","Produsul nu a îndeplinit așteptările mele"
"Return","Returnare"
"Exchange","Schimb"
"Repair","Reparație"
"Damaged","Deteriorat"
"Opened","Deschis"
"Unopened","Nedeschis"
